,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-0.7475,0.1231,-0.9623,-0.5004,0.0024,0.0022,2638.2325,2294.2566,1.0004
mu_leaky_log_prod,-4.6096,0.097,-4.7872,-4.4225,0.003,0.0018,1070.1827,1768.3856,1.0052
log_bbb,-0.6194,0.1596,-0.9094,-0.3133,0.0027,0.0023,3510.7533,2824.9557,1.0018
log_deg,-5.6405,0.2802,-6.165,-5.1234,0.0063,0.004,1974.2316,2657.5583,1.0009
log_tta_prod,2.7996,0.2172,2.4048,3.2193,0.0037,0.0033,3403.8656,3156.5263,1.0008
log_tta_leaky_prod,-2.5394,0.1617,-2.8263,-2.3042,0.0026,0.0021,2962.554,1998.6791,1.0004
log_tta_deg,-3.031,0.0478,-3.1209,-2.9425,0.0008,0.0008,4007.0497,3025.3127,1.0032
log_tta_kd,1.4301,0.1791,1.0819,1.7533,0.0038,0.0029,2219.2162,2657.02,1.0014
log_dox_kd,1.5708,0.2518,1.0927,2.0328,0.0037,0.0041,4740.9319,3162.8743,1.0004
log_cno_ec50,1.6088,0.257,1.1103,2.0687,0.004,0.0043,4217.5228,2803.1963,1.0008
log_clz_ec50,1.5025,0.2432,1.0434,1.9424,0.0039,0.0036,3914.993,2845.4045,1.0011
log_dreadd_prod,2.5597,0.2409,2.0992,3.0005,0.0039,0.0038,3767.003,2809.3141,1.0023
log_dreadd_ec50,2.0416,0.239,1.6077,2.4939,0.0043,0.0035,3114.1839,2833.4317,1.001
